      97,524,222,464- 4
     212,220,020,304- 4
   1,714,483,854,704- 4
   2,205,121,191,680- 4
   2,263,928,340,080- 4
   2,684,018,045,520- 4
   2,705,825,614,320- 4
   3,699,208,036,064- 4
   3,837,393,112,880- 4
   4,170,294,878,384- 4
   4,468,714,351,200- 4
   4,490,888,190,464- 4
   4,651,218,051,984- 4
   5,113,656,147,600- 4
   5,352,560,032,304- 4
   5,551,089,306,464- 4
   7,134,768,811,280- 4
   7,902,964,376,480- 4
   8,460,714,094,560- 4
   8,911,726,868,160- 4
   9,008,136,527,024- 4
  10,027,309,052,880- 4
  10,101,257,381,360- 4
  10,606,674,584,000- 4
  10,789,785,395,424- 4
  11,490,066,295,200- 4
  12,307,982,818,304- 4
  12,693,554,346,800- 4
  13,228,973,382,224- 4
  13,625,986,099,680- 4
  13,846,350,235,520- 4
  14,468,370,480,000- 4
  14,649,038,702,064- 4
  16,102,217,176,064- 4
  16,765,172,262,704- 4
  18,815,691,910,160- 4
  19,084,879,968,464- 4
  19,128,514,787,280- 4
  19,684,254,831,680- 4
  21,631,720,350,224- 4
  22,021,529,087,504- 4
  22,376,985,976,800- 4
  22,466,123,242,400- 4
  23,334,062,403,584- 4
  23,587,501,792,160- 4
  23,933,156,405,184- 4
  24,309,396,393,104- 4
  25,998,993,017,424- 4
  26,289,661,389,120- 4
  26,469,925,470,560- 4
  28,055,985,703,200- 4
  29,086,785,078,624- 4
  29,652,422,572,784- 4
  29,744,758,002,960- 4
  29,860,400,571,120- 4
  30,377,341,786,176- 4
  30,529,819,233,504- 4
  30,581,232,058,080- 4
  31,481,315,810,784- 4
  33,031,595,797,184- 4
  33,359,845,569,104- 4
